2025-12-22T11:13:30.230+0700	ERROR	repository/project.go:58	Error query get all projects: 	{"error": "expected 0 arguments, got 2"}
2025-12-22T11:13:30.232+0700	ERROR	service/project.go:36	Error get all projects service: 	{"error": "expected 0 arguments, got 2"}
2025-12-22T11:13:30.232+0700	ERROR	handler/project.go:40	Error handling get all projects: 	{"error": "expected 0 arguments, got 2"}
2025-12-22T11:13:30.233+0700	ERROR	handler/project.go:53	Error executing home template: 	{"error": "template: footer.html:4:17: executing \"footer\" at <.Year>: can't evaluate field Year in type handler.display"}
2025-12-22T11:17:38.898+0700	ERROR	handler/project.go:53	Error executing home template: 	{"error": "template: footer.html:4:17: executing \"footer\" at <.Year>: can't evaluate field Year in type handler.display"}
2025-12-22T12:10:55.617+0700	ERROR	handler/auth.go:94	Error handling login user: 	{"error": "user not found"}
2025-12-22T12:15:54.155+0700	ERROR	handler/auth.go:94	Error handling login user: 	{"error": "user not found"}
2025-12-22T12:21:20.267+0700	ERROR	service/auth.go:35	Error find user by email: 	{"error": "ERROR: syntax error at or near \"FROM\" (SQLSTATE 42601)"}
2025-12-22T12:21:20.273+0700	ERROR	handler/auth.go:94	Error handling login user: 	{"error": "can't find email"}
2025-12-22T12:21:30.437+0700	ERROR	service/auth.go:35	Error find user by email: 	{"error": "ERROR: syntax error at or near \"FROM\" (SQLSTATE 42601)"}
2025-12-22T12:21:30.437+0700	ERROR	handler/auth.go:94	Error handling login user: 	{"error": "can't find email"}
2025-12-22T12:27:05.322+0700	ERROR	service/auth.go:42	Incorrect password: 
2025-12-22T12:27:05.327+0700	ERROR	handler/auth.go:94	Error handling login user: 	{"error": "incorrect password"}
2025-12-22T12:50:26.085+0700	ERROR	service/auth.go:42	Incorrect password: 
2025-12-22T12:50:26.150+0700	ERROR	handler/auth.go:94	Error handling login user: 	{"error": "incorrect password"}
